with	和…一起
proposal	提议；求婚
rage	愤怒
basis	基础
twist	扭曲
leak	泄漏
item	物品；项目
catholic	天主教的
inner	内部的
patch	补丁
necessarily	必然
humour	幽默
e-mail	电子邮件
rocky	崎岖的
creative	有创意的
betray	背叛
soviet	苏联的
various	各种各样的
cowboy	牛仔
radar	雷达
amber	琥珀
vast	广阔的
pump	泵
valentine	情人节
marine	海洋的；陆战队
sack	麻袋；解雇
bid	出价
require	需要
achieve	实现
dope	毒品；兴奋剂
nest	巢
palm	手掌；棕榈
constant	不断的
boo	嘘！（喝倒彩）
medication	药物
gravity	重力
booze	酒
analysis	分析
vodka	伏特加
solar	太阳的
chemical	化学的
phase	阶段
fleet	舰队
lame	跛的；差劲的
irish	爱尔兰的
editor	编辑
whip	鞭子
region	地区
amongst	在…之中
temper	脾气
discussion	讨论
operate	操作；动手术
undercover	卧底
horror	恐怖
smash	砸碎
contrary	相反的
poker	扑克
korean	韩国的
tragic	悲惨的
entertainment	娱乐
sober	清醒的
needle	针
traditional	传统的
delicate	精致的；微妙的
independent	独立的
executive	主管；行政的
weakness	弱点
european	欧洲的
permit	允许
daisy	雏菊
nowadays	如今
northern	北方的
con	骗局；反对
technique	技术
cellphone	手机
gently	轻轻地
bunny	兔子
gunfire	枪声
backwards	向后
baron	男爵
marshal	元帅
petty	琐碎的
massage	按摩
wagon	马车
audition	试镜
mexican	墨西哥的
casino	赌场
bacon	培根
dutch	荷兰的
forgiveness	宽恕
burst	爆裂
permanent	永久的
interfere	干涉
unfair	不公平的
conduct	行为；指挥
avenue	大道
reverse	反转
ford	浅滩；涉水而过
absurd	荒谬的
ruby	红宝石
ranch	牧场
ash	灰
leather	皮革
conspiracy	阴谋
guardian	监护人
yen	日元；渴望
terror	恐怖
halt	停止
immunity	豁免权
closely	密切地
pearl	珍珠
priority	优先
boot	靴子；启动
conflict	冲突
sore	疼痛的
unconscious	无意识的
cattle	牛
fairly	相当
recognise	认出
radiation	辐射
specifically	具体地
spoil	破坏；溺爱
candidate	候选人
bloke	家伙
explode	爆炸
immediate	立即的
hunger	饥饿
combination	组合
nanny	保姆
severe	严重的
gut	内脏；勇气
splendid	极好的
vulnerable	脆弱的
vital	至关重要的
bureau	局；办事处
retreat	撤退
ace	王牌
ham	火腿
galaxy	银河；星系
alliance	联盟
drown	溺水
alike	相似的
wreck	残骸；毁坏
approve	批准
physically	身体上
spiritual	精神的
stab	刺
inch	英寸
unexpected	意外的
scandal	丑闻
stink	发臭
homer	本垒打
shield	盾牌
shooter	射手
instant	瞬间
rehearsal	排练
electronic	电子的
republic	共和国
overnight	一夜之间
counsel	顾问；忠告
bait	诱饵
dignity	尊严
lean	倾斜；瘦的
gossip	八卦
humble	谦逊的
impress	使印象深刻
tissue	纸巾；组织
threaten	威胁
bump	碰撞；肿块
supreme	至高的
bingo	宾果
excitement	兴奋
mankind	人类
broad	宽阔的
vessel	船；血管
foul	犯规；恶臭的
stare	凝视
hut	小屋
coma	昏迷
coffin	棺材
cocaine	可卡因
puppy	小狗
announcement	公告
oath	誓言
mob	暴民
cotton	棉花
autopsy	尸检
advise	建议
gig	演出
skinny	瘦的
include	包括
assistance	帮助
solo	独奏；独自
determine	决定
elsewhere	别处
practical	实用的
adorable	可爱的
rubber	橡胶
suite	套房
personnel	人员
beam	光束
poet	诗人
arrow	箭
counselor	顾问
operator	接线员；操作员
rely	依赖
eastern	东方的
toss	扔
acid	酸
anonymous	匿名的
breast	胸部
sixth	第六
brother-in-law	姐夫；小叔子
roommate	室友
scum	人渣
visitor	访客
commitment	承诺
react	反应
misery	痛苦
theft	盗窃
embrace	拥抱
harsh	严厉的
communicate	交流
faithful	忠实的
flame	火焰
silk	丝绸
cemetery	墓地
rear	后部；抚养
chap	小伙子
bin	箱子
jew	犹太人
gum	口香糖
corporal	下士
rap	说唱；责备
hopeless	绝望的
debate	辩论
era	时代
luckily	幸运的是
ton	吨
liquid	液体
swell	肿胀；极好的
feast	盛宴
profession	职业
bench	长椅
scout	侦察；球探
keen	热衷的；敏锐的
aircraft	飞机
aggressive	好斗的
pale	苍白的
significant	重要的
visual	视觉的
display	展示
fame	名声
twin	双胞胎之一
sorrow	悲伤
vault	金库；跳跃
quote	引用
penalty	处罚；点球
satan	撒旦
helmet	头盔
fuss	大惊小怪
envelope	信封
african	非洲的
tin	锡；罐头
sonic	声音的
collar	衣领
mere	仅仅的
sum	总数
ladder	梯子
alternative	替代的
raid	突袭
corporate	公司的
folk	人们；民间的
cruise	巡航
barrel	桶；枪管
cargo	货物
shove	推
cannon	大炮
arse	屁股
ally	盟友
wee	很小的
teenage	青少年的
cooperate	合作
worthless	一文不值的
kindness	善良
grip	紧握
rumour	谣言
perfume	香水
instrumental	起重要作用的；乐器的
association	协会；关联
fist	拳头
tension	紧张
kindly	好心地
certificate	证书
bold	大胆的
envy	嫉妒
dial	拨号；表盘
coal	煤
upside	好处；上面
imperial	帝国的
paranoid	偏执的
congress	国会
villa	别墅
faint	微弱的；晕倒
tech	科技
bleed	流血
psychic	通灵的
accidentally	意外地
conclusion	结论
communist	共产主义的
blackmail	敲诈
pacific	太平洋的
risky	冒险的
glorious	光荣的
hatred	仇恨
cam	凸轮
scotch	苏格兰威士忌
blank	空白的
tender	温柔的；嫩的
tub	浴缸
sucker	容易上当的人
slight	轻微的
addition	增加
campus	校园
ritual	仪式
prey	猎物
so-called	所谓的
genuine	真正的
warden	看守；监狱长
somewhat	有点
zombie	僵尸
electrical	电的
depend	依赖
institute	研究所
principle	原则
therapist	治疗师
compete	竞争
compliment	赞美
worship	崇拜
residence	住所
myth	神话
helpless	无助的
execution	处决；执行
appetite	食欲
formal	正式的
strictly	严格地
technical	技术的
shepherd	牧羊人
brutal	残忍的
vain	徒劳的；自负的
retire	退休
dummy	假人；笨蛋
sailor	水手
bass	低音；鲈鱼
idol	偶像
strict	严格的
formula	公式；配方
clerk	职员
samurai	武士
consciousness	意识
bare	赤裸的
butcher	屠夫
arrangement	安排
ministry	部
locate	定位
nazi	纳粹
parole	假释
prior	先前的
passage	通道；段落
organ	器官；管风琴
outer	外部的
luxury	奢侈品
pistol	手枪
fortunately	幸运的是
tomb	坟墓
element	元素
broadcast	广播
spray	喷
eternity	永恒
handy	方便的
crawl	爬
pace	步伐
stiff	僵硬的
concrete	混凝土；具体的
sausage	香肠
constable	警察
genetic	基因的
loudly	大声地
old-fashioned	老式的
marvelous	极好的
creep	爬；令人毛骨悚然的人
scheme	计划；阴谋
protocol	协议
kidney	肾
invasion	入侵
affection	喜爱
endless	无尽的
discipline	纪律
absence	缺席
philosophy	哲学
reed	芦苇
verdict	裁决
drake	公鸭
privilege	特权
anyhow	无论如何
scent	气味；香水
naive	天真的
daylight	日光
jolly	快活的
consent	同意
wizard	巫师
ranger	护林员
plague	瘟疫
rascal	淘气鬼
convenient	方便的
hush	安静
instinct	本能
porter	搬运工
originally	原本
drain	排水；消耗
furious	狂怒的
laser	激光
accurate	准确的
suspicion	怀疑
lobby	大厅；游说
secretly	秘密地
declare	宣布
missile	导弹
ensure	确保
tricky	棘手的
bubble	泡泡
maximum	最大的
carriage	马车；车厢
author	作者
cellar	地窖
mortal	凡人的；致命的
associate	同事；联系
honesty	诚实
mature	成熟的
deed	行为；契约
pirate	海盗
prostitute	妓女
retirement	退休
illusion	幻觉
mill	磨坊
mole	痣；鼹鼠；内奸
prosecution	起诉
fatal	致命的
copper	铜
heir	继承人
lesbian	女同性恋
enterprise	企业
tournament	锦标赛
harbour	港口；避风港
mansion	豪宅
auction	拍卖
bachelor	单身汉；学士
negotiate	谈判
champ	冠军
shotgun	猎枪
cocktail	鸡尾酒
donkey	驴
dizzy	头晕的
reference	参考
bully	欺负
collapse	崩溃
minimum	最小的
civilization	文明
wealthy	富有的
depression	抑郁；萧条
tide	潮水
bra	胸罩
rot	腐烂
spill	洒
static	静电；静止的
almighty	全能的
phrase	短语
disgrace	耻辱
approval	批准
screech	尖叫
ding	叮
fur	毛皮
legally	合法地
ditch	沟；抛弃
dime	一角硬币
domestic	国内的；家庭的
chuckle	轻笑
hack	黑客；砍
ransom	赎金
waitress	女服务员
spite	恶意
rebel	反叛
fortunate	幸运的
disappoint	失望
orbit	轨道
expose	揭露
gin	杜松子酒
sympathy	同情
growth	增长
psychiatrist	精神科医生
encounter	遭遇
accompany	陪伴
column	专栏；柱子
economic	经济的
theirs	他们的
brat	小鬼
hilarious	搞笑的
exclusive	独家的
confusion	混乱
thud	砰
hooker	妓女
dreadful	可怕的
brass	黄铜
tasty	好吃的
lust	欲望
label	标签
tan	棕褐色
ego	自我
phoenix	凤凰
companion	同伴
lottery	彩票
publicity	宣传
dialogue	对话
tremendous	巨大的
pervert	变态
establish	建立
intimate	亲密的
eager	渴望的
atlantic	大西洋的
presentation	演示；陈述
den	兽穴；窝
gratitude	感激
exception	例外
ultimately	最终
compromise	妥协
majority	多数
journal	期刊；日记
essential	必要的
ink	墨水
administration	管理；政府
passionate	热情的
precise	精确的
lawn	草坪
via	通过
opponent	对手
convention	大会；惯例
messenger	信使
versus	对
survivor	幸存者
disguise	伪装
archer	弓箭手
bicycle	自行车
pregnancy	怀孕
wooden	木制的
innocence	无辜
cloth	布
runway	跑道；T台
assist	协助
sickness	疾病
civilian	平民
seventh	第七
household	家庭
float	漂浮
ballet	芭蕾
harmless	无害的
curiosity	好奇心
vicious	恶毒的
glove	手套
greedy	贪婪的
corps	军团
good-looking	好看的
hint	提示
peanut	花生
stark	鲜明的；荒凉的
gamble	赌博
contain	包含
arrogant	傲慢的
piper	吹笛人
sperm	精子
gesture	手势
whatsoever	无论什么
homeland	祖国；家乡
leap	跳跃
jar	罐子
savage	野蛮的；凶猛的
ivy	常春藤
approximately	大约
kidnap	绑架
bounce	弹跳
creek	小溪
pony	小马
lunatic	疯子；疯狂的
unlikely	不太可能的
gal	姑娘（口语）
colony	殖民地；聚居地
engage	参与；从事
violet	紫罗兰；紫罗兰色
mutual	相互的
offensive	冒犯的；进攻的
harvest	收获；收割
cape	海角；披肩
buffalo	水牛
armour	盔甲
poverty	贫穷
leadership	领导力
ambition	雄心；抱负
racist	种族主义者
correctly	正确地
gasp	喘气；倒抽一口气
villain	恶棍；反派
factor	因素
countess	伯爵夫人
portrait	肖像
font	字体
reserve	预订；保留
umbrella	雨伞
auto	汽车
logical	合乎逻辑的
eliminate	消除；淘汰
carbon	碳
independence	独立
upbeat	乐观的
asian	亚洲的
quest	探索；追寻
memorial	纪念碑
involve	涉及；牵涉
spectacular	壮观的
reliable	可靠的
breach	违反；缺口
echo	回声
indicate	表明；指出
swamp	沼泽
manual	手册；手动的
elegant	优雅的
compound	化合物；院子
pursue	追求；追赶
revolutionary	革命的
rig	钻机；操纵
tribal	部落的
occur	发生
